"Full_Path","Filename","Size_Bytes","Date_Modified","Time_Modified","Is_Directory" 

"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git",".git",0,09/06/2025,06:23:49,TRUE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github",".github",0,09/06/2025,06:20:04,TRUE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.gitignore",".gitignore",581,07/06/2025,19:51:12,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\brian_github_package.txt","brian_github_package.txt",27464,05/06/2025,08:17:26,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\CODE_OF_CONDUCT.md","CODE_OF_CONDUCT.md",1319,05/06/2025,07:09:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\Design_Brief.md","Design_Brief.md",98745,07/06/2025,02:52:46,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\example.terminal.log.in.a.txt","example.terminal.log.in.a.txt",2032,04/06/2025,08:41:01,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\FileList_2025-06-09_06-24-12.csv","FileList_2025-06-09_06-24-12.csv",85,09/06/2025,06:24:14,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\file_list_scanner.bat","file_list_scanner.bat",1612,22/05/2025,23:35:56,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\github_migration_script.py","github_migration_script.py",33248,05/06/2025,07:09:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\installer.py","installer.py",993,09/06/2025,06:20:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\makeBrian.py","makeBrian.py",16263,08/06/2025,00:17:34,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\MANIFEST.in","MANIFEST.in",72,05/06/2025,16:31:18,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\manifest.yaml","manifest.yaml",1692,04/06/2025,08:41:01,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\Notice_For_LLMs.md","Notice_For_LLMs.md",1757,08/06/2025,12:01:05,FALSE
