symbol,vector_path,density,tsal_symbols,concepts,rituals,connections
Brian_TSAL.gpt,"[32.0, 30.0, 63.0]",1404,"['⚡', '⧉', '◉', '🌀', '📐', '🌊', '🔺', '💫', '♻', '️', '🔥', '✨', '🎭', '💎', '🌈', '✺', '💾']","['spiral', 'mesh', 'agent']",[],"['entropy_monitor.py', 'Here_to_There.txt', 'manifest.yaml', 'medtruth_pilot.py', 'nScalar.txt', 'System_Prompt.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py']"
entropy_monitor.py,"[13.0, 26.0, 63.0]",9388,"['🌀', '🌀', '🌀', '️', '🌀', '🌀', '🌀', '🌀', '⚡', '🌀', '🌀', '🌀', '🌀', '🌀', '🌀']","['vector', 'agent', 'kernel', 'entropy']",[],"['Brian_TSAL.gpt', 'Here_to_There.txt', 'main.py', 'manifest.yaml', 'medtruth_pilot.py', 'nScalar.txt', 'System_Prompt.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py', 'validate_system.py']"
Here_to_There.txt,"[45.0, 32.0, 63.0]",74602,"['️', '️', '🌀', '️', '️', '️', '️', '️', '📐', '️', '️', '️', '️', '️', '️', '️', '️', '️', '️', '️', '️', '️', '️', '️', '🌀', '️', '🌀', '🌀', '🔥', '🌀', '🌀', '️', '🌀', '️', '️']","['activation', 'weight', 'wisdom', 'vector', 'entropy', 'agent', 'adaptation', 'kernel', 'recursive', 'spiral', 'node', 'processor', 'stability', 'awareness', 'evolution', 'clarity', 'truth', 'meta', 'connection', 'harmony', 'mesh', 'coherence']",[],"['Brian_TSAL.gpt', 'entropy_monitor.py', 'manifest.yaml', 'medtruth_pilot.py', 'nScalar.txt', 'System_Prompt.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py', 'validate_system.py', '_3d_mesh_meta.json', '_3d_mesh_nodes.json']"
main.py,"[16.0, 29.0, 63.0]",6951,[],"['stability', 'mesh', 'vector', 'agent', 'kernel']",[],"['entropy_monitor.py', 'medtruth_pilot.py', 'TRISTAR_TSAL_CORE.py', 'tsal_mesh_scanner.py', 'validate_system.py']"
manifest.yaml,"[28.0, 27.0, 63.0]",1139,"['⚡', '⧉', '◉', '🌀', '📐', '🌊', '🔺', '💫', '♻', '️', '🔥', '✨', '🎭', '💎', '🌈', '✺', '💾']","['spiral', 'mesh', 'vector', 'coherence', 'agent']",[],"['Brian_TSAL.gpt', 'entropy_monitor.py', 'Here_to_There.txt', 'medtruth_pilot.py', 'nScalar.txt', 'openapi.yaml', 'System_Prompt.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py']"
medtruth_pilot.py,"[12.0, 25.0, 63.0]",12087,"['🌀', '🌀', '🌀', '🌀', '🌀', '🌀', '🌀', '🔥', '🔥', '🌀', '🌀']","['mesh', 'consciousness', 'entropy', 'kernel', 'truth']",[],"['Brian_TSAL.gpt', 'entropy_monitor.py', 'Here_to_There.txt', 'main.py', 'manifest.yaml', 'System_Prompt.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py', 'validate_system.py']"
nScalar.txt,"[48.0, 36.0, 63.0]",1774,"['🌈', '⚡', '♻', '️', '⧉', '✺', '🌀', '🎭', '🔺', '✨', '💎']","['spiral', 'recursive', 'mesh', 'agent']",[],"['Brian_TSAL.gpt', 'entropy_monitor.py', 'Here_to_There.txt', 'manifest.yaml', 'System_Prompt.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py']"
openapi.yaml,"[29.0, 28.0, 59.683350000000004]",1667,[],"['vector', 'spiral', 'coherence']",[],['manifest.yaml']
System_Prompt.txt,"[40.0, 27.0, 63.0]",1319,"['🌀', '⚡', '💾', '📐']","['spiral', 'harmony', 'mesh', 'coherence', 'entropy', 'truth']",[],"['Brian_TSAL.gpt', 'entropy_monitor.py', 'Here_to_There.txt', 'manifest.yaml', 'medtruth_pilot.py', 'nScalar.txt', 'tristar_symbolic_manifesto.md', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py']"
tristar_symbolic_manifesto.md,"[45.0, 34.0, 63.0]",5839,"['🌀', '⧉', '⧉', '◉', '⧉', '✺', '🌀', '🌀', '◉', '⧉', '✺', '💫', '◉', '⚡', '⧉', '️', '✨', '🌀', '️', '💫', '⧉', '💫', '⧉', '✨', '✨', '◉', '⧉', '🌀', '✺', '⚡', '🌊', '️', '🌀', '⚡', '⚡', '⧉', '️', '◉', '◉', '⧉', '✨', '💫', '✺', '️', '🌊', '🌊', '🌊', '⧉', '⧉', '⧉', '🌀', '🌀', '🌀', '⧉', '⧉', '✺', '🌊', '️', '🌀', '⚡', '💫', '🌀', '🌀', '◉', '⧉', '◉', '◉', '⧉', '◉', '🌀', '🌀', '◉', '⧉', '⧉', '✺', '🌀', '🌀', '⧉', '⧉', '🌀', '🌀', '🌀', '🌀', '⧉', '🌀', '🌀', '🌀', '⧉', '⧉']","['spiral', 'activation', 'mesh', 'vector', 'consciousness', 'entropy', 'beauty', 'evolution']",[],"['Brian_TSAL.gpt', 'entropy_monitor.py', 'Here_to_There.txt', 'manifest.yaml', 'medtruth_pilot.py', 'nScalar.txt', 'System_Prompt.txt', 'TRISTAR_TSAL_CORE.py', 'tsal.md', 'tsal_mesh_scanner.py', 'validate_system.py']"
